Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Lesson,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
180000,1.3769463,1.1242832,2.0,0.06510673,0.061195754,0.0002466077,419.75,7.674584517112145,7.674584517112145,1.0
185000,1.362843,1.1098737,2.0,0.052833922,0.072068855,0.00024534063,482.42857142857144,7.613485561949866,7.613485561949866,1.0
190000,1.4478484,1.0607069,2.0,0.064500906,0.0694572,0.00024378073,488.1333333333333,7.593613973685673,7.593613973685673,1.0
195000,1.5038108,1.0552648,2.0,0.06979703,0.07401538,0.0002421863,385.5,7.701307452642,7.701307452642,1.0
200000,1.4985061,1.0587621,3.0,0.060713097,0.06777835,0.0002408222,380.90909090909093,7.701380011439324,7.701380011439324,1.0
205000,1.5015603,1.0526682,3.0,0.060212746,0.069248125,0.00023913803,415.75,7.822966399292151,7.822966399292151,1.0
210000,1.4030327,1.0759329,3.0,0.0634763,0.0756574,0.00023756089,477.6666666666667,7.726366480191548,7.726366480191548,1.0
215000,1.1092268,1.0775049,3.0,0.05792811,0.07342635,0.00023627884,817.0,6.418555484877692,6.418555484877692,1.0
220000,1.2239403,1.0666213,3.0,0.074141115,0.07226705,0.00023469435,430.5,7.65503968000412,7.65503968000412,1.0
225000,1.0899045,1.0338244,3.0,0.06820264,0.06966735,0.000233135,633.3333333333334,7.244224825873971,7.244224825873971,1.0
230000,1.2726554,0.9898961,3.0,0.071964726,0.07339135,0.00023185398,469.3636363636364,7.44544990050296,7.44544990050296,1.0
235000,1.264038,0.9706111,3.0,0.06251724,0.07043911,0.00023028375,421.4166666666667,7.6623165508111315,7.6623165508111315,1.0
240000,1.3565315,0.96149385,4.0,0.06542672,0.067724064,0.00022862165,524.6666666666666,7.579766650994618,7.579766650994618,1.0
245000,1.4594682,0.982365,4.0,0.060172584,0.07384449,0.00022729671,404.25,7.5927163908878965,7.5927163908878965,1.0
250000,1.4351822,1.0007179,4.0,0.055952195,0.05947051,0.00022572564,399.27272727272725,7.680072396993637,7.680072396993637,1.0
255000,1.3862954,0.98302794,4.0,0.047378074,0.06467958,0.00022413697,555.1666666666666,7.360999754884026,7.360999754884026,1.0
260000,1.463776,0.9683523,4.0,0.05289352,0.06360869,0.00022285413,408.5,7.674727117473429,7.674727117473429,1.0
265000,1.4248283,0.9668158,4.0,0.054188948,0.075623564,0.00022127875,440.1818181818182,7.64729073101824,7.64729073101824,1.0
270000,1.3620907,0.964886,4.0,0.05676081,0.06812,0.00021971359,508.625,7.467599954456091,7.467599954456091,1.0
275000,1.2435644,0.9651889,4.0,0.054138593,0.0653189,0.00021844475,603.5,7.216659900546074,7.216659900546074,1.0
280000,1.3212303,0.93216217,5.0,0.051397175,0.07235064,0.00021684756,371.125,7.57762461528182,7.57762461528182,1.0
285000,1.3569219,0.93089867,5.0,0.05680069,0.07081492,0.00021522515,444.55555555555554,7.643866413169437,7.643866413169437,1.0
290000,1.3215345,0.9183962,5.0,0.05437601,0.07146175,0.00021363706,570.4545454545455,7.361399764364416,7.361399764364416,1.0
295000,1.3536166,0.92037344,5.0,0.054576233,0.061306007,0.00021206435,481.5,7.614259892702103,7.614259892702103,1.0
300000,1.3719314,0.9299442,5.0,0.0663936,0.0680628,0.00021081438,445.5,7.343199877440929,7.343199877440929,1.0
305000,1.3391719,0.9410466,5.0,0.05539747,0.070979,0.00020923115,609.75,7.312510893576675,7.312510893576675,1.0
310000,1.3003515,0.93221414,5.0,0.06882754,0.063978925,0.00020767417,503.75,7.34647479839623,7.34647479839623,1.0
315000,1.2290454,0.9102486,5.0,0.049088135,0.076244034,0.0002064263,558.1,7.453079897165298,7.453079897165298,1.0
320000,1.241678,0.9352857,5.0,0.059985433,0.057924766,0.00020482666,560.1818181818181,7.34497986137867,7.34497986137867,1.0
